Item_Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Mushroom Rice,Chana Masala,COBRA (660ML),Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Keema Naan,Peshwari Naan,Garlic Naan,Lemon Rice,Madras,Lamb Mysore,Chicken Haryali,Tandoori Fish (Main),Tandoori Mixed Grill,Bengal Fry Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Peshwari Naan,Korma,Saag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Keema Naan,Keema Rice,Sheek Kebab,Bombay Aloo,Curry,Curry,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Keema Naan,Saag Rice,Madras,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Meat Samosa,Mushroom Rice,Aloo Gobi,Dhansak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egg Rice,Tandoori Fish,Tarka Dall,Hazary Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Bombay Aloo,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarka Dall,Chana Masala,Bhindi Bhajee,Paneer Shaslick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Onion Bhajee,French Fries,Chicken Tikka Masala,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Peshwari Naan,Garlic Naan,Onion Rice,Aloo Chaat,Saag Paneer,Korma,Rogon,Hazary Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Pilau Rice,Onion Bhajee,Chicken Pakora,Saag Aloo,Bhuna,Tandoori Chicken Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Lime Pickle,Plain Papadum,Spicy Papadum,Plain Naan,Pilau Rice,Peshwari Naan,Plain Rice,Saag Aloo,Lamb Karahi,Chicken Tikka Biryani,Tandoori Mixed Grill,King Prawn Shaslick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Garlic Rice,King Prawn Puree,Tandoori Fish,Baingan Hari Mirch,Dhansak,Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Mushroom Rice,COBRA (660ML),Pathia,Lal Mirch Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diet Coke 1.5 ltr,Keema Naan,Saag Rice,Korma,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Puree,Pilau Rice,Meat Samosa,Korma Sauce,Masala Sauce,French Fries,Chicken Pakora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Plain Papadum,Keema Naan,Onion Bhajee,King Prawn Puree,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muttar Paneer,Saag Paneer,Tarka Dall,Lamb Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Bhuna,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Mint Sauce,Lime Pickle,Red Sauce,Plain Papadum,Chapati,Mushroom Rice,Chicken Chaat,Lamb Tikka,Bombay Aloo,Paneer Tikka Masala,Lamb Rezala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Mint Sauce,Lime Pickle,Red Sauce,Plain Papadum,Peshwari Naan,Pilau Rice,Onion Bhajee,Dhansak Sauce,French Fries,Bombay Aloo,Chicken Tikka (Main),Dupiaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Plain Papadum,Spicy Papadum,Peshwari Naan,Plain Rice,Coke 1.5 ltr,Korma Sauce,Sheek Kebab,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Pilau Rice,Peshwari Naan,Rogon,Tandoori Chicken Masala,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Onion Bhajee,Mushroom Rice,Chicken Tikka,Curry,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lime Pickle,Mango Chutney,Plain Naan,Pilau Rice,Raitha,Madras,Madras,Chicken Tikka Masala,Lamb Shashlick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Bombay Aloo,Madras,Chicken Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Pilau Rice,Onion Bhajee,French Fries,Korma,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Tikka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Bhajee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Pilau Rice,Prawn Puree,Chicken Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Pilau Rice,Prawn Puree,Chicken Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Madras,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Lime Pickle,Plain Papadum,Plain Naan,Plain Rice,Mixed Starter,Bombay Aloo,Chicken Tikka Jalfrezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Rice,King Prawn Hari Mirch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Egg Rice,Onion Bhajee,Vegetable Roll,Saag Aloo,Chicken Tikka Jalfrezi,Tandoori Chicken (Main),Bhuna,King Prawn Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Egg Rice,Onion Bhajee,Vegetable Roll,Saag Aloo,Chicken Tikka Jalfrezi,Tandoori Chicken (Main),Bhuna,King Prawn Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Egg Rice,Onion Bhajee,Vegetable Roll,Saag Aloo,Chicken Tikka Jalfrezi,Tandoori Chicken (Main),Bhuna,King Prawn Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Paneer,Korma,Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Rogon,Tandoori Chicken (Main),Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Rogon,Tandoori Chicken (Main),Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Pilau Rice,Bombay Aloo,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Plain Naan,Mushroom Rice,Sheek Kebab,Prawn Puree,Saag Paneer,Korma,Korma,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Spicy Papadum,Plain Naan,Meat Samosa,Onion Bhajee,Mushroom Rice,Curry Sauce,Chicken Tikka,Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Naan,French Fries,Korma Sauce,Special Fried Rice,Bombay Aloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Mango Chutney,Plain Papadum,Peshwari Naan,French Fries,Aloo Gobi,Saag Aloo,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Onion Chutney,Red Sauce,Plain Papadum,Pilau Rice,Onion Bhajee,Dhansak,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Plain Rice,Mixed Starter,Korma,Paneer Tikka Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Rice,Saag Aloo,Chicken Tikka Masala,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Spicy Papadum,Peshwari Naan,Raitha,Keema Rice,Mixed Starter,Mixed Vegetable Curry,Chicken Sylhet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Spicy Papadum,Pilau Rice,Chicken Tikka Masala,Lamb Karahi,Chicken Shashlick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Keema Naan,Pilau Rice,Special Fried Rice,Bombay Aloo,Saag Aloo,Bhuna,Korma,Chicken Tikka Jalfrezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Rice,Saag Paneer,Vegetable Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Plain Rice,Meat Samosa,Onion Bhajee,Mushroom Rice,Korma Sauce,Chicken Tikka,Bhuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Onion Bhajee,Chicken Tikka,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb Tikka,Cauliflower Bhajee,Tandoori Chicken (Main),Tandoori Mixed Grill,Bengal King Prawn,Lamb Shashlick Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Paratha,Onion Bhajee,Mushroom Rice,Masala Sauce,Bombay Aloo,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombay Aloo,Chicken Shashlick,King Prawn Shaslick,King Prawn Hari Mirch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Lime Pickle,Onion Chutney,Mango Chutney,Plain Papadum,Plain Naan,Plain Rice,Onion Bhajee,Pathia,Lamb Tikka (Main),Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Egg Rice,Vegetable Roll,Madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mushroom Rice,Saag Aloo,Chicken Tikka (Main),Lamb Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Lime Pickle,Red Sauce,Pilau Rice,Keema Naan,Madras,Vindaloo,Chicken Tikka Balti,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,COBRA (330ML),Prawn Puree,Prawn Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Plain Rice,Muttar Paneer,Tarka Dall,Saag Aloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Plain Naan,Pilau Rice,Peshwari Naan,Onion Bhajee,Korma,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Tikka Masala,Lamb Shashlick Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Chapati,Meat Samosa,Saag Paneer,Lamb Karahi,Chicken Roshni,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Onion Naan,Garlic Naan,Keema Naan,Pilau Rice,Madras,Lamb Tikka Chilli Masala,Butter Chicken,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Garlic Naan,Paratha,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Papadum,Pilau Rice,Onion Naan,Bengal Salad,Chicken Tikka Jalfrezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Naan,Mushroom Rice,Korma Sauce,French Fries,Bombay Aloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Onion Bhajee,French Fries,Chicken Achar,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Plain Rice,Bombay Aloo,Lamb Hari Mirch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Garlic Naan,Mushroom Rice,Mushroom Bhajee,Lamb Tikka (Main),Chicken Tikka Masala,Dupiaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Sheek Kebab,Bombay Aloo,Chicken Hari Mirch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Mushroom Rice,Curry,Chicken Tikka Masala,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Pilau Rice,Sheek Kebab,Chicken Chaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Plain Papadum,Plain Naan,Pilau Rice,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meat Samosa,Onion Bhajee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puree,Meat Samosa,Chicken Tikka Masala,Chicken Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meat Samosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Salad,Plain Rice,Pilau Rice,French Fries,Bengal Salad,Lemon Rice,Madras,Chicken Tikka Masala,Vegetable Karahi,Chicken Tikka Karahi,Chicken Haryali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meat Samosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Saag Rice,Chicken Chaat,Sheek Kehab,Madras,Lamb Shashlick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Keema Naan,Plain Rice,French Fries,Chicken Tikka,Bombay Aloo,Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Mint Sauce,Plain Papadum,Egg Rice,Tandoori Mixed Grill,Hazary Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Pilau Rice,Garlic Rice,Chicken Tikka Masala,Dupiaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulcha Naan,Baingan Hari Mirch,Vegetable Biryani,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Fried Rice,Bhuna,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meat Samosa,Royal Paneer,Persian Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Peshwari Naan,Korma,King Prawn Shaslick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sauce,Mint Sauce,Plain Naan,Meat Samosa,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Peshwari Naan,Plain Rice,Mushroom Rice,Keema Rice,Meat Samosa,Saag Paneer,Bombay Aloo,Madras,Chicken Tikka Masala,Chicken Tikka Chilli Masala,Korma,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Rice,Lemonade 1.5 ltr,Madras,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Mushroom Rice,Mixed Starter,Dall Samba,Chicken Tikka Jalfrezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Onion Chutney,Plain Papadum,Plain Naan,Pilau Rice,Mushroom Rice,Bombay Aloo,Madras,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Pilau Rice,Prawn Puree,Chicken Pakora,Chicken Tikka Chilli Masala,Lamb Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Mushroom Rice,Tandoori Chicken (1/4),King Prawn Butterfly,Cauliflower Bhajee,Bombay Aloo,Vindaloo,Lal Mirch Lamb,Prawn Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Onion Bhajee,Sheek Kehab,Chicken Shashlick,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Pilau Rice,Mushroom Bhajee,Dupiaza,Lamb Mysore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Peshwari Naan,Saag Aloo,Curry,Chicken Tikka (Main),Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Onion Bhajee,Madras Sauce,Chicken Tikka,Tandoori Chicken (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Peshwari Naan,Onion Naan,Plain Rice,Mushroom Rice,Saag Rice,Saag Aloo,Madras,Lamb Tikka Chilli Masala,Dupiaza,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Stuffed Paratha,Sheek Kehab,Saag Aloo,Madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Pilau Rice,French Fries,Onion Bhajee,Chicken Tikka Masala,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Kulcha Naan,Bhuna,Lamb Tikka Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meat Samosa,Chicken Tikka Chilli Masala,Lamb Tikka Chilli Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korma Sauce,Masala Sauce,Chicken Tikka Chilli Masala,Lamb Tikka Chilli Masala,Vegetable Karahi,Chicken Shashlick Curry,Tandoori King Prawn Garlic,Tandoori King Prawn Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Keema Naan,Pilau Rice,Onion Bhajee,Sheek Kehab,Bombay Aloo,Chicken Tikka Jalfrezi,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauliflower Bhajee,Saag Bhajee,Chicken Tikka (Main),Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Keema Naan,Keema Rice,Korma,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Lime Pickle,Red Sauce,Plain Papadum,Plain Naan,Garlic Naan,Vegetable Rice,COBRA (660ML),Paneer Tikka Masala,Chicken Tikka Masala,Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Onion Bhajee,Aloo Gobi,Chicken Shashlick Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Keema Naan,Chicken Tikka Pasanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Onion Bhajee,Meat Samosa,Special Fried Rice,Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Keema Naan,Special Fried Rice,Bombay Aloo,Chana Masala,Paneer Tikka Masala,Korma,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Keema Naan,Pilau Rice,Bombay Aloo,Saag Paneer,Dupiaza,Paneer Tikka Masala,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Peshwari Naan,Lemonade 1.5 ltr,Special Fried Rice,Bombay Aloo,Chicken Tikka Masala,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Garlic Naan,Onion Bhajee,Curry Sauce,Mushroom Rice,Vegetable Roll,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Garlic Naan,Onion Bhajee,Lemon Rice,Mushroom Rice,Chicken Tikka Garlic,Chicken Tikka Jalfrezi,Chicken Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sauce,Mint Sauce,Plain Papadum,Spicy Papadum,Plain Naan,Diet Coke 1.5 ltr,Chicken Chaat,King Prawn Puree,Bombay Aloo,Rogon,Korma,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Madras,Bengal King Prawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Meat Samosa,Onion Bhajee,Egg Rice,COBRA (660ML),Korma,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Onion Chutney,Onion Bhajee,Saag Dall,Bhuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Garlic Naan,Meat Samosa,Tandoori Chicken (1/4),Chicken Tikka Masala,Lamb Biryani,Chicken Biryani,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Chicken Tikka Jalfrezi,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Saag Rice,Tandoori Fish,Chicken Tikka Chilli Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mushroom Rice,Mixed Starter,Aloo Gobi,Bhuna,Bengal King Prawn,Lamb Shashlick Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Lamb Tikka,Chicken Pakora,Chicken Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vindaloo,Chicken Hari Mirch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
